	영화리뷰	label
0	막눈이 봐도 블랙 위도우 헌정 영화	1
1	역시 마블입니다. 영화관에서 이렇게 가슴 웅장해진적 오랜만이네요	1
3	이제 못보는건가 ㅠㅠ	1
4	흠잡을게 없는 영화    상영시간이 긴대도  불구하고 지루할 틈이 없는  이게 영화지	1
5	한슨이 누나를 보내야 하다니ㅠ	1
6	오프닝부터 몰입감ㅜㅠ 결말을 아는.,,ㅠ못보내	1
7	아낌 없는 액션으로 스트레스가 날아감	1
8	ㅈㄴ재밌다 후회없다ㅎㅎ	1
10	역시 영화는 헐리웃이야ㅠㅠ 액션이 어떻게 1분 1초도 어설픈데가 없이 진짜보다 더 진짜처럼 연기하냐... 그리고 미드소마 여주... 역시 헐리웃 배우는 다르다 겉모습이 완전 미드소마 여주랑 완전 똑같은데 완전한 다른 사람이야... 목소리며 말투며 억양이며 표정 성격이 완전히 다른 사람이다... 스파이인데 통통해서 처음에 읭?했는데 연기 진짜 미쳤다... 통통한 몸매도 다 커버하는 미친 연기력.... 미드소마 여주랑 똑같이 생겼는데 완벽하게 다른 사람... 절대 같은 사람으로 안보인다... 헐리웃 사랑해 ㅠㅠ ♡	1
11	마블 영화 중 제일 재밌게 봤네요 ~	1
12	스칼렛 나타샤 요한슨 로마노프. 안녕.	1
13	나에게 있어 최고의 히어로	1
14	ㅋㅋㅋㅋ 이것도 영화라고?	0
16	너무 재밌고 스칼렛 요한슨 연기 미쳤어요	1
17	블랙 위도우의 마지막이라는 것이 너무 아쉬워요. ㅜㅜ	1
19	역시 블랙위도우 !!!	1
21	이거 보니 나타샤 그립다 보고 싶다 ㅠㅠ	1
22	블랙위도우를 보고나서 느낀점은 나타샤가 너무나 안타까운 삶을 살아왔다는 것 이다.  히어로물이지만, 영화를 보면서 나도 모르게 울컥하고 위로받는말들이 많았다. 올해에 있어서 본 영화중 가장 최고였고 앞으로도 기억에 오래오래 남을 것 같다.	1
23	지루하고 노잼...  진짜 이게 재밌다고?	0
24	가족영화	1
26	마블 영화를 보기위해 존재하는듯?	0
27	댓글 알바씀?? 보다 잠들뻔	0
30	두 시간을 겨우 참았건만..	0
31	기다리고 기다리던 솔로무비 ㅠ 최고였어요.	1
33	정말 실망했습니다. 이렇게 밖에 못하는건가요?	0
35	마블은 아무리 망해도 마블이다~	1
36	중간에 넘 지루햇어요 연기는 잘하는데 지루함	0
37	어벤져스도 안본 사람인데 재밌게봤습니다 굿	1
39	기대를 많이 한 것 치고는 아쉬웠지만 그래도 블랙위도우의 서사를 드디어 들을 수 있어 좋았다.	1
40	솔직히 ㅈ재미가 없음....내용도 작위적이야	0
41	고마웠어요! 블랙 위도우!	1
42	마블과 디즈니의 철학이 어떻게 어우러지는 지 보여준 영화, 블랙 위도우에게 바치는 찬사로는 부족하지만 가족이 무엇인지 블랙위도우가 인피니티워에서 가족을 언급하는 이유 등 충분히 즐길거리가 넘친다.	1
43	너무 재밌게 봤습니다스칼렛요한슨짱!	1
44	액션히어로물의 탈을 쓴 가족영화입니다..	1
46	오랜만에 영화봤는데 정말 잘봤습니다.	1
48	인생영화ㅠㅠ 너무 재밌었어요	1
49	역시 마블..서사+액션 굳굳	1
52	더할 나위 없이 좋은 영화	1
53	배우들 케스팅이나 연기력은 좋았으나전체적인 연출 및 스토리는 너무나도 실망스러운 영화였네요...차라리 영화가 시빌워 후 인피니티 워 이전에 나왔으면.마블 뽕 가득 차있을때여서 인피니티 사가가 끝나기 전 거처가는 영화 중 하나로괜찮게 보였을수도 있지만. 엔드게임 이후 한참이나 지금 시점에서는블랙위도우의 마지막을 이런식으로 한다는게 참 안타까울 따름..어린시절 블랙위도우가 된 과정도 억지 감동 코드를 녹이며 별로 와닿지 않음...그리고 원래 마블이 빌런을 1회성으로 소모하는 경향이 있지만 그래도 지금까지 다른영화에선 어느정도 빌런들이 매력적이었는데, 이번 블랙위도우에선 나온 빌런 둘이 너무 별로여서 더욱 영화에 감동이 없었던것 같음..그냥 지금까지 뿌려댄 그놈에 부다페스트 떡밥을 억지로 회수하는 영화	0
54	보지마라. 토르 1,2편보다도 재미없고 억지스럽다.	0
